siyam_ref,type,make,application,year,core_size,number_of_rows,inlet_pipe,outlet_pipe,eoc,toc,oems,replaces,category
12246,Plastic/Aluminum Without Frame,Freightliner,"FL120, Century, Classic, Columbia",1997-2006 ,"36"" X 30 5/8"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,0516225001 / A0516225001 / 0516255001 / A0516255001 / 0516239002 / 0516255000 / A0516255000 / 0516255001 / 0516255002 / 05163797000 / A05163797000 / 0516380000 / A0516380000 / 1AH000016R / 1AH00062R / 1AH00081 / 1AH00081R / 1AH00081S / 2AH00081 / 310081T / 376753361 / 376761551 / 3AH00200SP / 3AH00243SP / 3AH00277 / 6805000603 / A0516235001 / A0519502009 / A6724 / A6725 / A6726 / A6727 / A6728 / BHT1SA00209 / BHT70012 / BHT68925 / BHTA3724 / BHTA6724 / BHTA6725002 / BHTA6726 / BHTA6727 / BHTA6728 /  BHTA6826 / BHTE0805 / D3774 / E0805 / E0807 / EXO3AH00200SP / EXO3AH00243SP / 11C9091 / 1AH00016R,239136 / 800007PT / 2001-1707 / HDC010007PA / 437157 / CTVTX80472 / FRE07,ptr
12325,Plastic/Aluminum Without Frame,Freightliner,"FLD, Century, Classic XL, Sterling 9500 series, Coronado 36""",2002-2007,"36"" X 38 1/2"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,No,376761591 / 140052W / 376761591 / A4726 / A4727 / A4738 / A4739 / B4742 / B7472 / B7473 / BHAA4738 / BHTA4726 /  BHTB4742 / BHTB7472 / BHTC2237 / BHTE3758 / BHTE3760 / BHTE4812 / BHTE6125 / BHTV0225001 / C2237 / C2238 / E3758 / E3759 / E4812 / E4814 / SN20050814224835 / V0225001 / Z0225001 / BHT7472 / BHTA4738,239142 / 800020PT / 2001-1710 / 437398 / HDC010021PA / CVTM80673 / FRE20,ptr
12330,Plastic/Aluminum Without Frame,Freightliner,"M2 112, Century, Columbia series with Detroit series MBE",2004-2007,"41 13/16"" X 30 5/8"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,0520514001 / 376761541 / A0519870002 / A0519870003 / A0519870011 / A0519870013 / A0519870017 / A0519870019 / A9986 / A9988 / BHT2315 / BHTA9986 / BHTA9988 / BHTC2315 / BHTD9546 / BHTD9547 / BHTE7236 / BHTU3692001 / BHTU3698 / BHTU3698001 / C2315 / E7236 / E7237 / H5466 / U3692001 / U3698001 / U3780001 / A0519870009 / A0519870015,239138 / 800022PT / FRE22 / 2001-1711 / 437601 / HDC010023PA / FLX000235 / CVTM80593,ptr
12333,Plastic/Aluminum Without Frame,Freightliner,Century series / Coronado,2003-2006,"38"" X 38 1/2"" X 1 7/8""",2,"2 1/2""","2 1/2""",No,No,B5323 / BHT25323 / BHTB5323 / 2003062615805 / 376761601 / 75080 / 75084 / B5325 / BHT75080 / BHT75084 / BHTC8987 / C8987 / C8989 / BHTB5325 / BHTC8989 / 75084100 / BHTB6291 / B6291 / BHTD9576 / D9576 / BHT75048,239010 / 800051PT / 2001-1712 / 437260 / FRE13 / CTVTM82623 / HDC010088PA,ptr
12338,Plastic/Aluminum Without Frame,Freightliner,Columbia / Cascadia / Century,2008-2015,"42"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,376792711 / 0524936002 / 0526615020 / 0526620002 / 0526620004 / 0527743002 / 0527749000 / 0527749005 / 0529617002 / 0529617005 / 1A0201190020 / 3E011860004 / 3E0120430002 / A0524936002 / A0526615010 / A0526615020 / A0526615022 / A0526620004 / A0527743002 / A0527749002 / 529617005 / 527749005 / 527749002 / 526620004 / 05-24936-002 / 05-26615-020 / 05-26620-002 / 05-26620-004 / 05-27743-002 / 05-27749-000 / 05-27749-002 / 05-29617-002 / A05-24936-002 / A05-26615-010 / A05-26615-020 / A05-26615-022 / A05-26620-004 / A05-27743-002 / A05-27749-002 / 3E0118600004 / 3S0581790002 / MOD3S0581790002 / 3E01186004 / 1A020119020 / 05-34048-000 / 0534048000 / A05-34049-000 / A0534049000,239086 / 800068PT / FRE68 / 2001-1725 / HDC010117PA / 437248P / CTAVTM83033 / 613RA068,ptr
12377,Plastic/Aluminum with frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,TXE1003850 / TXE1003850D / 1003850 / TXE1102843C / 1102843 / TXE1004004B,800131PTWF / TXE1003850 / 1102843C / TXE1004004B / 1102837C / FRE131F,ptr
12377-XB,Plastic/Aluminum Without Frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,No,TXE1003850 / TXE1003850D / 1003850 / TXE1102843C / 1102843 / TXE1004004B,800131PT / TXE1003850 / 1102843C / TXE1004004B / 1102837C / FRE131,ptr
12377-AS,Plastic/Aluminum with frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,TXE1003849 / TXE1003849D / A0533218003 / TXE1003850 / TXE1003850D / 1003850,238847 / 800128PTWF / TXE1003849D / TXE1003850 / HDC011225 / TXE1102845 / FRE130F,ptr
12377-AXB,Plastic/Aluminum Without Frame,Freightliner,Cascadia,2017-2023,"35 1/16"" X 38 1/2"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,TXE1003849 / TXE1003849D / A0533218003 / TXE1003850 / TXE1003850D / 1003850,238848 / 800128PT / TXE1003849D / TXE1003850 / TXE1102845 / FRE130,ptr
12497,Plastic/Aluminum Without Frame,Freightliner,Cascadia / Century / Columbia,2008-2015,"42"" X 37 3/4"" X 2 3/16""",2,"2 1/2""","2 1/2""",No,Yes,376792711 / 0526620005 / 0527749003 / 0529617003 / 0529617009 / 1A0201190021 / 3E01228 / 3E0122800003 / A0526615021 / A0526620005 / A0527749003 / A0529617003 / 3S0582180003 / 0524936001 / 0524936003 / 052660005 / 0526620003 / 0529617007 / 3A0573270009 / 3E0122690003 / 3S0581790003 / A0526615015 / A0527743003 / A0529627019 / MOD3S0581790003 / MOD3S0581790001 / PH1695HB64 / 3S0581790003 / 3S0581790001 / 3S581791 / 3S581793 / 0531114003 / 0534048001 / A05-34049-001 / A0534049001 / 3A0581790003,238611 / 800073PT / 613RA073 / 437249 / CTAVTU83143 / 2001-1723 / HDC010113PA / FRE64,ptr
